customer_id,email,first_name,last_name,registration_date,country,city,age,gender
1,johnsonjoshua@example.org,Donald,Garcia,2025-01-11,Japan,New Roberttown,69,Other
2,robinsonwilliam@example.org,Anna,Baldwin,2025-09-10,UK,Robinsonshire,25,Female
3,lisa02@example.net,Roberto,Ramirez,2023-08-17,Japan,Curtisfurt,36,Male
4,howardmaurice@example.com,Lindsay,Blair,2024-12-28,UK,South Christianport,41,Male
5,barbara10@example.net,Jeremy,Roberts,2023-01-18,India,Port Craig,41,Female
6,shawn52@example.com,Michael,Santiago,2025-09-11,France,New Cynthiaside,19,Female
7,frankgray@example.net,Hailey,Robinson,2024-02-02,Australia,East Lydiamouth,55,Male
8,nadams@example.net,Nancy,Edwards,2025-07-01,Germany,Fostermouth,38,Female
9,josephwright@example.net,Amber,Burgess,2024-07-13,Canada,Coxberg,39,Male
10,ddavis@example.org,Eric,Moore,2025-08-09,USA,Carlsonfurt,66,Female
11,dcarlson@example.net,John,Tran,2022-10-04,Japan,Lake Nicoleview,59,Male
12,daniel62@example.com,Aaron,Bowen,2023-10-31,Germany,New Rita,33,Male
13,meagan89@example.org,Eric,Farmer,2025-01-01,Australia,New Mariotown,64,Female
14,hickmannatasha@example.com,John,Allen,2025-02-14,Germany,North Jessicaland,69,Female
15,davidalvarez@example.net,Frederick,Rose,2025-04-16,UK,Brandtside,54,Female
16,jenniferross@example.net,Debra,Kim,2024-11-29,France,Martinezbury,26,Male
17,morganbrianna@example.org,Brianna,Smith,2025-05-24,Germany,East Carloston,42,Other
18,chad34@example.net,Todd,Ryan,2025-02-20,Canada,Sanchezfort,26,Male
19,glee@example.net,Ryan,Henderson,2024-09-11,Canada,Lake Deniseville,37,Male
20,powellmatthew@example.org,John,Lee,2024-08-13,Germany,South Isaiah,24,Female
21,ewright@example.com,Lindsey,Chase,2023-02-16,India,Lake Yvettetown,64,Male
22,housemelinda@example.org,Richard,Olson,2024-05-31,USA,East Nicholasfurt,53,Male
23,sara74@example.com,Heather,Cross,2025-01-27,Germany,Mooreport,19,Male
24,tanyariley@example.net,Bruce,Edwards,2022-12-03,Australia,Shawhaven,59,Female
25,brianromero@example.org,Casey,Jones,2023-09-17,France,Wilsonshire,35,Female
26,bethwilliams@example.org,Robert,Silva,2024-12-07,Canada,Sarahborough,27,Female
27,john62@example.net,Debbie,Bryant,2023-01-07,Australia,South Christineshire,48,Other
28,jonesjason@example.com,David,Bailey,2023-01-01,India,West Justin,31,Male
29,tbass@example.com,Cheryl,Archer,2025-06-28,USA,Lake Lisaport,57,Female
30,mcmillandennis@example.org,Pamela,Newton,2023-05-16,France,Juanborough,35,Female
31,james48@example.com,John,Odonnell,2022-12-04,India,Lake Rodneyview,43,Other
32,smithkellie@example.net,Tina,Martin,2024-08-03,Germany,Hoffmanville,62,Male
